Name,Team,Number,Position,Age,Height,Weight,College,Salary,random_date
Maurice Harkless,Portland Trail Blazers,4.0,SF,23.0,6-9,215.0,St. John's,2894059.0,2023-07-15 05:15:05.908096256
Gerald Henderson,Portland Trail Blazers,9.0,SG,28.0,6-5,215.0,Duke,6000000.0,2023-07-23 05:02:29.671772416
Chris Kaman,Portland Trail Blazers,35.0,C,34.0,7-0,265.0,Central Michigan,5016000.0,2023-07-31 04:49:53.435448576
Meyers Leonard,Portland Trail Blazers,11.0,PF,24.0,7-1,245.0,Illinois,3075880.0,2023-08-08 04:37:17.199124736
Damian Lillard,Portland Trail Blazers,0.0,PG,25.0,6-3,195.0,Weber State,4236287.0,2023-08-16 04:24:40.962800832
C.J. McCollum,Portland Trail Blazers,3.0,SG,24.0,6-4,200.0,Lehigh,2525160.0,2023-08-24 04:12:04.726476992
Luis Montero,Portland Trail Blazers,44.0,SG,23.0,6-7,185.0,Westchester CC,525093.0,2023-09-01 03:59:28.490153152
Mason Plumlee,Portland Trail Blazers,24.0,C,26.0,6-11,235.0,Duke,1415520.0,2023-09-09 03:46:52.253829312
Brian Roberts,Portland Trail Blazers,2.0,PG,30.0,6-1,173.0,Dayton,2854940.0,2023-09-17 03:34:16.017505472
Noah Vonleh,Portland Trail Blazers,21.0,PF,20.0,6-9,240.0,Indiana,2637720.0,2023-09-25 03:21:39.781181568
Trevor Booker,Utah Jazz,33.0,PF,28.0,6-8,228.0,Clemson,4775000.0,2023-10-03 03:09:03.544857728
Trey Burke,Utah Jazz,3.0,PG,23.0,6-1,191.0,Michigan,2658240.0,2023-10-11 02:56:27.308533888
Alec Burks,Utah Jazz,10.0,SG,24.0,6-6,214.0,Colorado,9463484.0,2023-10-19 02:43:51.072210048
Dante Exum,Utah Jazz,11.0,PG,20.0,6-6,190.0,,3777720.0,2023-10-27 02:31:14.835886208
Derrick Favors,Utah Jazz,15.0,PF,24.0,6-10,265.0,Georgia Tech,12000000.0,2023-11-04 02:18:38.599562368
Rudy Gobert,Utah Jazz,27.0,C,23.0,7-1,245.0,,1175880.0,2023-11-12 02:06:02.363238464
Gordon Hayward,Utah Jazz,20.0,SF,26.0,6-8,226.0,Butler,15409570.0,2023-11-20 01:53:26.126914624
Rodney Hood,Utah Jazz,5.0,SG,23.0,6-8,206.0,Duke,1348440.0,2023-11-28 01:40:49.890590784
Joe Ingles,Utah Jazz,2.0,SF,28.0,6-8,226.0,,2050000.0,2023-12-06 01:28:13.654266944
Chris Johnson,Utah Jazz,23.0,SF,26.0,6-6,206.0,Dayton,981348.0,2023-12-14 01:15:37.417943104
Trey Lyles,Utah Jazz,41.0,PF,20.0,6-10,234.0,Kentucky,2239800.0,2023-12-22 01:03:01.181619264
Shelvin Mack,Utah Jazz,8.0,PG,26.0,6-3,203.0,Butler,2433333.0,2023-12-30 00:50:24.945295360
Raul Neto,Utah Jazz,25.0,PG,24.0,6-1,179.0,,900000.0,2024-01-07 00:37:48.708971520
Tibor Pleiss,Utah Jazz,21.0,C,26.0,7-3,256.0,,2900000.0,2024-01-15 00:25:12.472647680
Jeff Withey,Utah Jazz,24.0,C,26.0,7-0,231.0,Kansas,947276.0,2024-01-23 00:12:36.236323840
,,,,,,,,,2024-01-31 00:00:00.000000000
